,title,50 G,100 G,150 G,200 G,250 G,300 G,400 G,500 G,600 G,800 G,1 Kg,weight,image,features,nutrients
90," Gift Pack of 5 (Whole) Kerala Spices -  Cardamom, Black Pepper, Cinnamon, Clove, Mace - 50 gm each",,,,,Rs. 1299,,,Rs. 2691,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_1_x360.jpg?v=1623587214,"Homestead spices from Western Ghats region of Kerala
Collected from farmers who practice organic way of cultivation and also in the fair trade network. Processed and packed in a traditional way. Free from pesticides and other chemical impurity.
Used in spice mixes, curries, stews, sauces, confectionary. ","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
91,"Gift Pack of 5  Whole  Indian Spices - Cardamom, Clove, Black Pepper, Ceylon Cinnamon (100 G each) & Nutmeg (200 G)",,,,,,,,,Rs. 2729,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/01_c1043ae2-9a01-406b-85d2-a3edebb9a2a0_x360.jpg?v=1630596376,"Premium, Gourmet high-quality Kerala  whole Spice- Fresh and pure finest grade spices packed with natural flavors and aroma to spice up your taste buds and bring authentic taste to all your favourite cuisine.100% authentic, organically grown, of single origin, farm direct produce, GMO-free, with no preservatives or additives,  handpicked from the homesteads of the Western Ghats.
Perfect gift hamper of flavourful, healthy authentic Indian to spice up the festivities.","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
92,Pack of 5 Iindian Spices - Green Cardamom + Clove + Kerala Cinnamon+Black Pepper + Mace -100 gm each,,,,,,,,,Rs. 3333,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_1_19378996-617c-45f1-8047-4f3b69e3f5f6_x360.jpg?v=1623587368,An ideal  Box of Kerala Spices for gifting with premium quality spices.,"Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
93,Gift pack of 5 (Whole) Indian Spices -- Green Cardamom + Clove + Ceylon Cinnamon + Black Pepper (100g ea) + Nutmeg (200 g),,,,,,,,,Rs. 2599,,,,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/01_c1043ae2-9a01-406b-85d2-a3edebb9a2a0_530x530.jpg?v=1630596376,"An ideal gift with organic, chemical free, premium quality spices.","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
94,Gift Pack of 7 Indian Spices - Green Cardamom + Clove + Black Pepper + Ceylon Cinnamon + Black Cardamom + Allspice (100 G Ea) + Nutmeg (200 g),,,,,,,,,,Rs. 3757,,,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/02_6ba13cf3-54ff-4dc0-9e0a-e93cce5a6ea4_1024x1024@2x.jpg?v=1630596655,"Premium gift box of exotic and pure finest grade authentic,  packed with natural flavors and aroma. Carefully handpicked from the homesteads of Western Ghats to spice up, refresh, and bring life to your favorite cuisines.
100% authentic organically grown, single origin, farm direct produce, GMO-free, with no preservatives or additives.
Perfect gift hamper for your friends, family, co-workers, clients, or anyone else you love & care about!","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
95,Gift pack of 7 Whole Indian Spices - Green Cardamom + Clove + Black Pepper + Ceylon Cinnamon + Black Cardamom + Allspice(100 g ea) + Nutmeg (200g),,,,,,,,,,Rs. 3120,,,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/02_86e573f8-992e-4812-bb11-d89f80c5c1f0_1024x1024@2x.jpg?v=1630944418,"Premium gift box of exotic and pure finest grade authentic,  packed with natural flavors and aroma. Carefully handpicked from the homesteads of Western Ghats to spice up, refresh, and bring life to your favorite cuisines.
100% authentic organically grown, single origin, farm direct produce, GMO-free, with no preservatives or additives.
Perfect gift hamper for your friends, family, co-workers, clients, or anyone else you love & care about!","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
96,"Gift Pack of 10 Kerala Spices - Cardamom, Black Pepper, Cinnamon, Clove,  Mace, Star Anise (Badiyan), Long Pepper, Black Cardamom, Nutmeg, Allspice",,,,,,,,Rs. 2145,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_3_x360.jpg?v=1623600956," Each fresh batch is hygienically packed. Gathered from homestead fair trade network of farmers in small batches who practice the organic way of cultivation.
Free from pesticides, herbicides and other chemical impurities. 
An economical combo for your monthly needs. ","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
97,Economy Combo Of 7 Spices Whole -- Black Pepper + Green Cardamon + Ceylon Cinnamon + Clove + Black Cardamom + Star Anise ( 25 g ea) + Lay leaves (10 G),,,,,,,,,,,,160 G : Rs 1104,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_2_1024x1024@2x.jpg?v=1623601062," Each fresh batch is hygienically packed. Gathered from homestead fair trade network of farmers in small batches who practice the organic way of cultivation.
Free from pesticides, herbicides and other chemical impurities. 
An economical combo for your monthly needs. ","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
98,Economy Combo Of 7 Spices Whole - Black Pepper + Green Cardamon + Ceylon Cinnamon + Clove + Black Cardamom + Star Anise ( 50 g ea) + Bay Leaves (10 G),,,,,,,,,,,,310 G : Rs  1429,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_2_43253c36-b101-4002-9f14-7e6efc28e598_1024x1024@2x.jpg?v=1623601112," Each fresh batch is hygienically packed. Gathered from homestead fair trade network of farmers in small batches who practice the organic way of cultivation.
Free from pesticides, herbicides and other chemical impurities. 
An economical combo for your monthly needs. ","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
99,Economy Premium Combo Pack of 6 Spice Powders - Black Pepper (50G ) + Green Cardamon (25G) + Clove (25g) + Sri Lankan Cinnamon (50G) + Turmeric (100G) + Ginger (50G),,,,,,Rs. 1429,,,,,,,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/AMF08529_1024x1024@2x.jpg?v=1604843020," Each fresh batch is hygienically packed. Gathered from homestead fair trade network of farmers in small batches who practice the organic way of cultivation.
Free from pesticides, herbicides and other chemical impurities. 
An economical combo for your monthly needs. ","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
100,Economy Combo Of 6 Spice Powders - Black Pepper (50 G) + Cardamon (50 G) + Sri Lankan Cinnamon (50 G) + Turmeric (100G) + Ginger (50G),,,,,,,,,,,,350 G : Rs. 1820,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/AMF08529_1024x1024@2x.jpg?v=1604843020," Each fresh batch is hygienically packed. Gathered from homestead fair trade network of farmers in small batches who practice the organic way of cultivation.
Free from pesticides, herbicides and other chemical impurities. 
An economical combo for your monthly needs. ","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
101,"Gift Box of 5 Kerala Spice Powders - Cardamom, Black Pepper, Clove, Cinnamon, Nutmeg - (100 gm Each)",,,,,,,,,Rs. 2860,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_12_x360.jpg?v=1625561300,"Specially Packed Kerala Spices in eco friendly gift box
Perfect Gift for your dear and near ones.
A premium quality gift item from the house of Looms & Weaves ","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
102,Gift Box of 10 Organic Spices - Green Cardamon + Black Pepper + Clove + Sri Lankan Cinnamon + Allspice + Black Cardamom + White Pepper (100 g ea) + Mace (50 G) + Vanilla (10G) + Nutmeg (200 G),,,,,,,,,,,,960 G : Rs. 4680,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/IMG-20210728-WA0035_1024x1024@2x.jpg?v=1627608592,"Specially Packed Kerala Spices in eco friendly gift box
Perfect Gift for your dear and near ones.
A premium quality gift item from the house of Looms & Weaves ","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
103,"Wooden Spice Gift Box with 9 Different Spices - (Nutmeg, Black Cardamom, White Pepper, Black Pepper, Mace, Long Pepper, Green cardamom, Cloves, Allspice)",,,,,,,,,,,,Rs. 1560,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/41SLNwtKrhL_1024x1024@2x.jpg?v=1617297856,"Specially Packed Kerala Spices in eco friendly gift box
Perfect Gift for your dear and near ones.
A premium quality gift item from the house of Looms & Weaves ","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
104,"Premium Wooden Box with 9 Different Spices - Nutmeg, Black Cardamom, White Pepper, Black Pepper, Mace, Long Pepper, Green cardamom, Cloves, Allspice",,,,,,,,,,,,Rs. 1949,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/IMG-20210128-WA0007_1024x1024@2x.jpg?v=1611905888,"Specially Packed Kerala Spices in eco friendly gift box
Perfect Gift for your dear and near ones.
A premium quality gift item from the house of Looms & Weaves ","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
105,"Gift Box (Woven Bamboo) - Book of Spices with 6 different spices - White pepper, Black Pepper, Cloves, Mace, Green Cardamom, Nutmeg",,,,,,,,,,,,Rs. 2599,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/9087a_1024x1024@2x.jpg?v=1600330362,"Specially Packed Kerala Spices in eco friendly gift box
 Perfect Gift for your dear and near ones.
 A premium quality gift item from the house of Looms & Weaves (LAW)","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
106,"Gift Box - Wooden Spice Box with 4 Different Spices - ( Cinnamon, Cloves, Black Pepper, Green Cardamom)",,,,,,,,,,,,Rs. 1170,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/9086a_530x530.jpg?v=1600330211,"Specially Packed Kerala Spices in eco friendly gift box
Perfect Gift for your dear and near ones.
A premium quality gift item from the house of Looms & Weaves ","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
107,"Triangular Gift Box - Wooden Spice Box with 4 Different Spices - ( Long Pepper, Cloves, Black Pepper, Green Cardamom )",,,,,,,,,,,,Rs. 1105,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/9085a_x360.jpg?v=1600329951,"Specially Packed Kerala Spices in eco friendly gift box
Perfect Gift for your dear and near ones.
A premium quality gift item from the house of Looms & Weaves ","Mixed Spices contain omega-3, iron, protein, fibre, manganese. Anti-oxidant. Helps nutrient absorption, improves heart health, reduces diabetes, inflammation, oral bacteria."
108,Gourmet A-Grade Vanilla Beans Whole from Kerala,Rs. 5460,"Rs. 10,920",,"Rs. 20,800",,,,"Rs. 41,600",,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/IMG-20210613-WA0092_x360.jpg?v=1623588530,"Natural, Organic, Gourmet Grade. Average moisture content of vanilla pods is 33%, so these beans are soft & pliable, have a rich, creamy flavour &  heavenly aroma. Organically grown, ethically sourced  from the fair trade farmers network in Kerala. No pesticides, Chemicals, Additives or Preservatives added.
Used in confectionary, baking, essences, puddings, sweets.","Vanilla contains calcium, manganese, phosphorus, magnesium. Used to treat fever, spasms, dysmenorrhea, blood clotting, and gastrointestinal (GI) distress, tooth decay, ease gastric problems, anxiety. "
109,Worlds Finest Gourmet Premium Vanilla Whole,,,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/GourmetPremiumVanillaWhole_259c44e4-7964-4f38-9cfb-43c858722250_x360.jpg?v=1623647932,"Premium & Limited edition Single Origin Gourmet Grade Vanilla pods. Used to add flavour to sauce, ice cream, beverages and desserts","Vanilla contains calcium, manganese, phosphorus, magnesium. Used to treat fever, spasms, dysmenorrhea, blood clotting, and gastrointestinal (GI) distress, tooth decay, ease gastric problems, anxiety. "
110,100% Pure And Natural Vanilla Bean Powder from Kerala,Rs. 5460,"Rs.10,920",,"Rs. 19,500",,,,"Rs. 36,400",,,"Rs. 71,500",,//cdn.shopify.com/s/files/1/0450/4161/5010/products/1233_x360.png?v=1622894231,"Premium,  gourmet, A- grade finely ground powder with a rich creamy flavour and a heavenly aroma. Sourced from the best quality vanilla beans from organic and fair trade farmers network in Kerala 
No pesticides, Chemicals, Additives or Preservatives added. 100% Natural, Organic, Non-GMO, Vegan, Gluten free.  Used to add flavour to sauce, ice cream, beverages and desserts.","Vanilla contains calcium, manganese, phosphorus, magnesium. Used to treat fever, spasms, dysmenorrhea, blood clotting, and gastrointestinal (GI) distress, tooth decay, ease gastric problems, anxiety. "
111,Fresh & Organically Grown Tamarind  (Seeds removed),,,,Rs. 389,,,Rs. 584,Rs. 728,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/tamarind_x360.jpg?v=1623201950,"Tamarind  of finest quality, organically grown. Seeds  removed manually under hygienic conditions.
No artificial colours, pesticides, preservatives, flavour added. Non- GMO, Non-ETO. Used to make sauces, marinades, desserts, drinks.                                                                                                                                                                                                                           ","Tamarind contains magnesium, calcium. Used to treat constipation, liver and gallbladder problems, stomach disorders, colds and fever, pregnancy-related nausea, dry eye, eliminate parasites, "
112,Premium Tamarind Whole,,,,Rs. 519,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Tamarind_0ef83e19-d31a-483c-9ea0-c932d2c3c1a4_x360.jpg?v=1623567296,"Premium, limited edition, single origin, ethically sourced from organic, fair traded farmers from homesteads in the forest  of Wayanad, Kerala.
Handpicked and sundried. Following the rules of permaculture, this produce is grown and secured without harming the natural ecosystem.  Used to make sauces, marinades, desserts, drinks.  ","Tamarind contains thiamine, iron, Vitamin C, niacin, magnesium, calcium. Used to treat constipation, liver and gallbladder problems, stomach disorders, colds and fever, pregnancy-related nausea, dry eye, eliminate parasites, "
113,Brindleberry / Garcinia Cambogia / Malabar Tamarind,,Rs. 259,,,Rs. 389,,Rs. 519,Rs. 777,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/brindleberry_x360.jpg?v=1623163493,"Processed traditionally. Sourced from the organically grown trees and sundried in a hygienic environment. Used in curries, as a preservative, souring agent, tenderiser.                                                                                                                               ","Brindleberry contains iron, oxalic acid, absorbed acid, calcium. Help weight loss, reduce appetite, lower cholesterol, improve rheumatism, relieve intestinal problems."
114,Premium Brindleberry (Malabar Whole),,,,Rs. 519,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Brindleberry_MalabarTamarind_x360.jpg?v=1623564736,"Premium & Limited edition Single Origin, handpicked and sundried. Sourced from the mountain ranges that brings the best available Malabar Tamarind.
Used to add flavour and aroma to food,  as a souring agent, to preserve and tenderise food.  
","Brindleberry contains iron, oxalic acid, absorbed acid, calcium. Help weight loss, reduce appetite, lower cholesterol, improve rheumatism, relieve intestinal problems."
115,Brindleberry Powder (Garcinia Cambogia / Malabar Tamarind),,Rs. 325,,,Rs. 779,,,Rs. 1557,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/brindleberry_3e3f703a-0162-499b-ae86-505eb1094f42_x360.jpg?v=1624951350,"Processed from the organically grown Malabar tamarind trees and sundried in a hygienic environment and  powdered  in-house. Used to add flavour and aroma to food,  as a souring agent, to preserve and tenderise food.  
","Brindleberry contains iron, oxalic acid, absorbed acid, calcium. Help weight loss, reduce appetite, lower cholesterol, improve rheumatism, relieve intestinal problems."
116,"100% Pure, Natural and Unrefined Coconut Sugar Powder - Natural Sweetener / Sugar Alternative",,,,,Rs. 519,,,Rs. 1026,,,Rs. 1820,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/CoconutSugarPowder_x360.jpg?v=1639901420,"A  perfect replacement for white sugar and natural sweetener  with a  low fructose content  and glycemic index food of 35. Organically grown, unrefined, unbleached, made in small  batches from the finest quality coconut flower nectar.                                                                                                                                                                           Sourced from certified organic farmers network in Kerala.","Coconut Sugar contains iron, zinc, calcium, and potassium, fibre, ant-oxidants. Helps prevent high cholesterol and heart disease, keep your gut healthy, prevent colon cancer, and lower blood sugar."
117,Natural Organically Grown Unprocessed Raw Jaggery ( Cane Sugar) Powder,,,,,Rs. 389,,,Rs. 519,,,Rs. 550,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/JaggeryPowder_250gm_x360.jpg?v=1641363410,"Pure & Healthy alternative to refined white sugar.  Raw, unprocessed and unbleached with no sulphur added
Made from organically grown cane  using traditional methods without adding any chemicals, preservatives or additives.                                                                                                                                                                      ","Cane Jaggery contains iron, poatssium, magnesium, maganese, fructose. Helps detoxification of liver, prevents anemia, improves immunity, increase energy levels."
118,Natural Palmyra Jaggery ( Unrefined Palm Sugar) Powder,,,,,Rs. 454,,,Rs. 1037,,,Rs. 1820,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/PalmJaggeryPowder_x360.jpg?v=1639906570," An ideal alternative to brown and white sugar. The colour of palm jaggery varies from brown to dark brown depending on place of origin and processing. A rich source of minerals and vitamins, made from organically grown palm trees of western ghats region of Kerala - Tami lNadu border.                                                                                   
Use in sweets, beverages, baking.
","Palm Jaggery contains iron, magnesium, calcium, phosphorus, potassium. Used to treat anemia, help muscle contraction, improve bone health. has low glycemic index."
119,Palm Sugar Powder,,,,,Rs. 324,,,Rs. 623,,,Rs. 1105,,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/PalmJaggery5_530x530.jpg?v=1610002983,"An ideal alternative to brown and white sugar.  A rich source of minerals and vitamins, made from organically grown palm trees. Use in beverages, sweets, baking.                                                                                  ","Palm Sugar contains iron, magnesium, calcium, phosphorus, potassium. Used to treat anemia, help muscle contraction, improve bone health. has low glycemic index."
120,Palm Sugar Powder,,,,,Rs. 454,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/NaturalandUnrefinedPalmSugarPowder_2_x360.jpg?v=1640857786,"An ideal alternative to brown and white sugar.  A rich source of minerals and vitamins, made from organically grown palm trees. Use in beverages, sweets, baking.                                                                                  ","Palm Sugar contains iron, magnesium, calcium, phosphorus, potassium. Used to treat anemia, help muscle contraction, improve bone health. has low glycemic index."
121,Natural Palmyra Palm Jaggery Cubes,,,,,Rs. 519,,,Rs. 649,,,Rs.  1169,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/PalmJaggery6_x360.jpg?v=1618307827,"Healthy, sugar alternative. Pure, natural palmyra palm source. An ideal alternative for brown and white sugar and is a rich source of minerals, iron  and vitamins.
It is made from organically grown palm trees prepared using traditional methods without adding any chemicals or preservatives
","Palm Sugar contains iron, magnesium, calcium, phosphorus, potassium. Used to treat anemia, help muscle contraction, improve bone health. has low glycemic index."
122,100% Pure & Natural Raw Unprocessed Palmyra Palm Jaggery Mini Roundels,,,,,Rs. 519,,,Rs. 649,,,Rs.  1169,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/PalmJaggery5_x360.jpg?v=1610002983,"Healthy, sugar alternative. Pure, natural palmyra palm source. An ideal alternative for brown and white sugar and is a rich source of minerals, iron  and vitamins.
It is made from organically grown palm trees prepared using traditional methods without adding any chemicals or preservatives
","Palm Sugar contains iron, magnesium, calcium, phosphorus, potassium. Used to treat anemia, help muscle contraction, improve bone health. has low glycemic index."
123,Pure Unrefined Palm (Palymyra Palm) Sugar Crystals,,Rs. 259,,,,,Rs. 649,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/PalmSugarCrystalsWhole_x360.jpg?v=1640857365,"Palm sugar is a natural sweetener with the lowest glycemic index. It is unrefined sugar,  rich in vitamins and minerals.It is 100% pure & natural. No additives or preservatives added. Use as a substitute to white and brown Use instead of white sugar.","Palm Sugar contains iron, magnesium, calcium, phosphorus, potassium. Used to treat anemia, help muscle contraction, improve bone health. has low glycemic index."
124,"Fermented, Sun-Dried Kerala Raw Cocoa Bean",,,,,Rs. 389,,,Rs. 649,,,Rs. 1039,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/cocoabean_x360.jpg?v=1623164653,"Finest Quality, single-origin, direct farm produce of fermented Cocoa Beans sourced from an organic and fair trade farmer in Kerala. Best for homemade chocolates, ice-creams, cakes, cookies, brownies. ","Cocoa contains magnesium, ant-oxidants, flavanols, selenium, potassium.  Is ant-inflammatory,  Improves cardiovascular health, blood pressure, reduce inflammation, increase blood flow. "
125,Premium Raw Fermented Cocoa Bean Whole,,,,Rs. 519,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/CocoaBeanWhole_Dried_Fermented_x360.jpg?v=1623682391,"Premium & Limited edition single origin raw fermented cocoa beans from the homestead of an organic farmer in Calicut district of Kerala, using permaculture, without harming the natural ecosystem.
Use for making chocolates, sweets, cakes, bakes.","Cocoa contains magnesium, ant-oxidants, flavanols, selenium, potassium.  Is ant-inflammatory,  Improves cardiovascular health, blood pressure, reduce inflammation, increase blood flow. "
126,Pure & Natural Cocoa Powder From Kerala,,,,,Rs. 494,,Rs. 649,Rs. 844,,,Rs. 1687,800 G : Rs. 1297,//cdn.shopify.com/s/files/1/0450/4161/5010/products/NaturalCocoaPowder_x360.jpg?v=1639904567,"100% natural unsweetened cocoa powder from the organically grown cocoa made from the  highest quality cacoa beans only. Perfect for hot chocolates, smoothies, milk shakes, desserts, health shakes, baking products, cocoa coffee, chocolate syrup, cereals.","Cocoa contains magnesium, ant-oxidants, flavanols, selenium, potassium.  Is ant-inflammatory,  Improves cardiovascular health, blood pressure, reduce inflammation, increase blood flow. "
127,Special Dark Cocoa Powder from Kerala,,,,,Rs. 519,,Rs. 649,Rs. 844,,,Rs. 1687,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/71hJr-soy8L._SL1500_x360.jpg?v=1642664372,"Special, Pure dark cocoa powder from Kerala.
Perfect for hot chocolates, smoothies, milk shakes, desserts, health shakes, baking products, coco coffee, chocolate syrup, puffs, desserts.","Cocoa contains magnesium, ant-oxidants, flavanols, selenium, potassium.  Is ant-inflammatory,  Improves cardiovascular health, blood pressure, reduce inflammation, increase blood flow. "
128,Combo Pack of Kerala  Natural Cocoa  + Dark Cocoa Powders,,,,,,,,Rs. 1013,,,,13h 41m 37s,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_250g_x360.jpg?v=1642766467,"Single origin, homestead produce of Kerala. Organically grown. No pesticides, chemicals used.  
Perfect for hot chocolates, smoothies, milk shakes, desserts, health shakes, baked products and other chocolate recipes.
","Cocoa contains magnesium, ant-oxidants, flavanols, selenium, potassium.  Is ant-inflammatory,  Improves cardiovascular health, blood pressure, reduce inflammation, increase blood flow. "
129, PUMPKIN SEEDS - Raw,,,,,Rs. 584,,,Rs. 1167,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/RawPumpkin_1_x360.jpg?v=1626262161,"Pumpkin seeds have a sweet, nutty taste.  Organically grown without the use of pesticides. Use as a snack,  in smoothies, yoghurt, fruit, salads, soups, cereals, bread, cakes, energy bars, stir-fries. ","Pumpkin Seeds contain magnesium, manganese, phosphorus, vitamin K, iron, zinc. Is anti-inflammatory & anti-oxidant. Improves bowel movement and digestive system, blood sugar."
130,RAW BLACK CHIA SEEDS - for Weight Loss. ,,,,,Rs. 454,,,Rs. 907,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Rawblackchia_1_x360.jpg?v=1626261696,"These tiny, flat, and ovular seeds with a shiny, smooth texture are packed with tons of benefits. The mild, nutty flavor  makes them easy to add to foods and beverages. They are most often sprinkled on cereal, sauces, vegetables, rice dishes, or yogurt or mixed into drinks and baked goods. ","Black Chia contain calcium, manganese, magnesium, omega-3 fatty acids, iron. They improve bone health, heart health and lower blood sugar."
131,RAW PREMIUM WHITE CHIA SEEDS - for weight loss,,,,,Rs. 454,,,Rs. 907,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Rawwatermelon_1_ac3a99e1-c291-4ee7-9826-e57c7b1316ed_x360.jpg?v=1626262780,"Chia seed is a Super- Food. One ounce serving of Chia seeds contains 11.2 g of fiber & 5.6 g of protein. Good source of Calcium, Omega-3 Fatty Acids, Vitamins, Protein, Iron & other minerals
Use in salads, instead of rice, in desserts, sprinkle on breads.","White Chia contains omega-3 fatty acids, fibre, calcium, iron, magnesium, phosphorus, zinc, vitamin B1 and B3, antioxidants. May aid weight loss, strengthen the heart, reduce inflammation,  control blood sugar, fight ageing."
132,RAW UNROASTED BASIL SEEDS - for Weight loss,,,,,Rs. 519,,,Rs. 1037,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/RawBasilseeds_1_x360.jpg?v=1626261323,"Basil seeds are rich in fibre & omega-3 fatty acids.
This powerful super food is the richest nutrient source, energy booster and one of the best nutrients generating agents for vegetarians.
Use in drinks, deserts, as a laxative, digestive, in puddings.","Basil Seeds contain omega-3 fatty acids, magnesium, calcium, magnesium, potassium. Reduces heart burn, helps weight loss, lowers blood sugar, aids coughs & colds."
133,RAW UNSALTED PEELED SUNFLOWER SEEDS,,,,,Rs. 519,,,Rs. 1037,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Rawsunflower_1_x360.jpg?v=1626262401,"Premium quality Sunflower seeds of premium  size and taste. Organically grown & pesticide free. Use as a snack, an alternative to pine nuts to make pesto, to garnish dishes, in sweets, to sprinkle on breads.","Sunflower Seeds contain Thiamine,  Riboflavin, Niacin, Folate, Choline, vitamins B6,  C & E, A calcium, iron, magnesium, manganese. Boosts immunity, reduces cholesterol, blood sugar, helps  with weight loss, anaemia."
134,RAW WHOLE FLAX SEEDS  FIBRE RICH SUPERFOOD - for Weight Loss,,,,,Rs. 389,,,Rs. 777,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Rawflaxseeds_1_x360.jpg?v=1626420149,"Premium quality, organic, non hybrid and non-GMO, pesticide & fungicide free.  Use in breads, health food to reduce cholesterol, in sweets, to sprinkle in salads and soups.","Flax Seeds contain protein, fibre, omega 3, fatty acids, thiamine, copper. Improves digestive health, brain development, lowers cholesterol, immunity, blood pressure. Stabilises blood glucose levels."
135,RAW WATERMELON SEEDS - With High Protein and Fibre,,,,,Rs. 519,,,Rs. 1037,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Rawwatermelon_1_x360.jpg?v=1626263926,"Premium quality, organic, non hybrid and non-GMO, pesticide & fungicide free seeds that are low in calories. can be used in breads, as a snacks, in soups, stews and in sweets.","Watermelon Seeds contain folate, iron, zinc, copper, magnesium, potassium, omega 3 & 6 fatty acids.  Boosts metabolism, reduces blood sugar, osteoporosis, boosts energy levels."
